,precision,recall,f1-score,support
0.0,0.7586206896551724,0.5116279069767442,0.6111111111111112,43.0
1.0,0.9450261780104712,0.9809782608695652,0.9626666666666667,368.0
accuracy,0.9318734793187348,0.9318734793187348,0.9318734793187348,0.9318734793187348
macro avg,0.8518234338328218,0.7463030839231547,0.786888888888889,411.0
weighted avg,0.9255239006399654,0.9318734793187348,0.9258859151121924,411.0
